Tiempo,Liga,Partido,Equipo,Jugador,Concepto,Valor,Concepto Real,Valor Real,Valor Numerico,Arbitro,Posicion ,
DateFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,a,bueno,StringFilter,CategoryFilter,NumberRangeString,,,
,argentina,patronato,newells,QUIGNON,mediocampista-pase-corto,bueno,#N/A,BUENO,8,,,
,argentina,patronato,newells,QUIGNON,mediocampista-pase-corto,malo,#N/A,MALO,4,,,
,argentina,patronato,newells,QUIGNON,mediocampista-quite-pie firme,bueno,MEDIOCAMPISTA-QUITE-PIE FIRME,BUENO,3,,,
,argentina,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,argentina,,rosario central,ruben,lesion,numerico,#N/A,NUMERICO,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,,,,,,,#N/A,#N/A,,,,
,argentina,,rosario central ,ruben,*zona*,BUENO,#N/A,BUENO,2,,,
,argentina,,rosario central ,ruben,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,ruben,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,ruben,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,6,,,
,argentina,,rosario central ,ruben,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,ruben,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,rodriguez,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,rodriguez,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,9,,,
,argentina,,rosario central ,rodriguez,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,9,,,
,argentina,,rosario central ,rodriguez,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,19,,,
,argentina,,rosario central ,rodriguez,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,18,,,
,argentina,,rosario central ,rodriguez,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,8,,,
,argentina,,rosario central ,miño,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,15,,,
,argentina,,rosario central ,miño,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,13,,,
,argentina,,rosario central ,miño,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,17,,,
,argentina,,rosario central ,miño,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,miño,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,miño,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,18,,,
,argentina,,rosario central ,burgos,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,burgos,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,burgos,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,burgos,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,burgos,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,6,,,
,argentina,,rosario central ,burgos,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,menosse,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,6,,,
,argentina,,rosario central ,menosse,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,15,,,
,argentina,,rosario central ,menosse,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,menosse,ZONA DE EJECUCION-DER,MALO,#N/A,MALO,2,,,
,argentina,,rosario central ,menosse,ZONA DE EJECUCION-MED,BUENO,#N/A,BUENO,16,,,
,argentina,,rosario central ,menosse,ZONA DE EJECUCION-MED,MALO,#N/A,MALO,17,,,
,argentina,,rosario central ,ferrari,ZONA DE EJECUCION-IZQ,BUENO,#N/A,BUENO,6,,,
,argentina,,rosario central ,ferrari,ZONA DE EJECUCION-IZQ,MALO,#N/A,MALO,16,,,
,argentina,,rosario central ,ferrari,ZONA DE EJECUCION-DER,BUENO,#N/A,BUENO,2,,,
